rank,name,rating,sigma,races_participated
307,BILLOT-MORNET Christophe,1116.9104401800905,40.000124352622706,35
308,BOHRER RODRIGUEZ Claudia,1113.3112578198213,47.61021561506259,5
309,BINON Nastasia,1100.627140668917,41.65791003585406,9
310,PAPON Coralie,1093.0503125323103,41.65791003585406,9
311,CLEMENT Joël,1092.9869613715732,40.02952724770834,20
312,ROUIBAH Amyra,1092.7644135111132,43.506526604781136,7
313,ROZENBERG Kamila,1091.0886924943698,40.38047455390968,13
314,VASSANT Robert,1090.5378669615175,47.61021561506259,5
315,HARDOUIN Stéphane,1071.0271075484395,40.08822089336331,17
316,FAZIO Léandre,1052.0669298897246,47.61021561506259,5
317,BAROUNI Selsabil,1051.9574357427048,43.506526604781136,7
318,LEROY Maurice,1050.638564774492,41.65791003585406,9
319,SION Jean-Marc,1044.036473369148,40.183112953455485,15
320,LEMAITRE Claude,1033.379369754266,40.009886628593264,23
321,WYSOCKA Jean Michel,1033.2582032840094,51.45275281723964,4
322,BOURGET Sandrine,1030.2745394848848,57.75331719781477,3
323,DELVAL Philippe,1029.918661590073,42.40642840853214,8
324,ETIENNE Pierre-Francois,1026.796369231554,40.02952724770834,20
325,BREBANT Anaïs,1025.792291441386,51.45275281723964,4
326,MOYNET Carole,1015.7973380928076,40.38047455390968,13
327,DA COSTA Sophie,1014.2985864376261,57.75331719781477,3
328,SAUVAGE Sophie,1008.4979497194945,40.02050313980621,21
329,MESTRINHO Vasco (*),988.4158625535141,45.14064349325851,6
330,HELLOUIN Christophe,982.6111286290594,40.38047455390968,13
331,HERAIL Julien,973.6898181194795,42.40642840853214,8
332,MARTINEZ Matias,969.89003191505,47.61021561506259,5
333,BARTHELME Pascal,958.8207377068449,57.75331719781477,3
334,HERVIEUX Sylvain,958.5704124608518,42.40642840853214,8
335,CHATILLON Patrick,957.0722681409075,47.61021561506259,5
336,GALINDO Sandra,938.9135784449563,45.14064349325851,6
337,MELO Christian,936.2294465493712,41.65791003585406,9
338,DEBOUT Camille,927.1758563024522,51.45275281723964,4
339,LEMOSQUET Laurence,925.7986695170614,42.40642840853214,8
340,PELISSIER Francis,916.4382081408021,40.06124758539716,18
341,PTAK Didier,902.7205980542203,42.40642840853214,8
342,DUPONT Eric,872.5216417844443,40.54883629530469,12
343,HERVIEUX Michel,870.6665547796955,40.38047455390968,13
344,SIDI Dhul,864.0851690924846,57.75331719781477,3
345,LORIVEL Sandrine,860.6574551054808,40.54883629530469,12
346,PICHOT Jean-Claude,828.622594556828,57.75331719781477,3
347,HERVIEUX Cécile,793.4229185181885,42.40642840853214,8
